observation_date,POLPROINDMISMEI
2001-01-01,48.279010000000000
2001-02-01,48.552540000000000
2001-03-01,48.689309999999999
2001-04-01,48.142240000000001
2001-05-01,47.868699999999997
2001-06-01,47.731929999999998
2001-07-01,47.595170000000003
2001-08-01,48.142240000000001
2001-09-01,48.415779999999998
2001-10-01,47.321629999999999
2001-11-01,46.637790000000003
2001-12-01,48.552540000000000
2002-01-01,48.142240000000001
2002-02-01,48.552540000000000
2002-03-01,48.689309999999999
2002-04-01,46.637790000000003
2002-05-01,48.142240000000001
2002-06-01,48.826079999999997
2002-07-01,48.142240000000001
2002-08-01,49.509909999999998
2002-09-01,49.646680000000003
2002-10-01,48.552540000000000
2002-11-01,51.561430000000001
2002-12-01,49.920220000000000
2003-01-01,49.509909999999998
2003-02-01,50.330520000000000
2003-03-01,51.151130000000002
2003-04-01,50.330520000000000
2003-05-01,51.424660000000003
2003-06-01,52.655569999999997
2003-07-01,53.339410000000001
2003-08-01,55.117390000000000
2003-09-01,53.476180000000006
2003-10-01,54.707090000000001
2003-11-01,55.938000000000002
2003-12-01,56.211530000000003
2004-01-01,58.126280000000001
2004-02-01,58.126280000000001
2004-03-01,58.946890000000003
2004-04-01,60.861640000000001
2004-05-01,59.767490000000002
2004-06-01,58.673349999999999
2004-07-01,58.810119999999998
2004-08-01,58.673349999999999
2004-09-01,59.083659999999995
2004-10-01,60.314570000000003
2004-11-01,60.041030000000006
2004-12-01,56.485069999999993
2005-01-01,60.724870000000003
2005-02-01,60.451330000000006
2005-03-01,58.810119999999998
2005-04-01,60.177799999999998
2005-05-01,60.451330000000006
2005-06-01,60.724870000000003
2005-07-01,62.229309999999998
2005-08-01,62.229309999999998
2005-09-01,62.639619999999994
2005-10-01,64.691130000000001
2005-11-01,65.785280000000000
2005-12-01,66.605879999999999
2006-01-01,64.827900000000000
2006-02-01,66.332340000000002
2006-03-01,66.605879999999999
2006-04-01,68.520630000000011
2006-05-01,69.478000000000009
2006-06-01,70.161839999999998
2006-07-01,71.119219999999999
2006-08-01,70.572140000000005
2006-09-01,71.939819999999997
2006-10-01,71.939819999999997
2006-11-01,71.666290000000004
2006-12-01,75.222239999999999
2007-01-01,73.854569999999995
2007-02-01,73.854569999999995
2007-03-01,75.769319999999993
2007-04-01,74.675180000000012
2007-05-01,75.359020000000001
2007-06-01,76.179620000000000
2007-07-01,76.589930000000010
2007-08-01,76.863460000000003
2007-09-01,77.684069999999977
2007-10-01,78.231139999999996
2007-11-01,78.504669999999990
2007-12-01,80.282650000000004
2008-01-01,81.650330000000011
2008-02-01,81.376790000000000
2008-03-01,79.872349999999997
2008-04-01,80.966490000000022
2008-05-01,78.231139999999996
2008-06-01,78.367900000000006
2008-07-01,77.820830000000001
2008-08-01,77.547300000000007
2008-09-01,77.136989999999997
2008-10-01,76.042850000000001
2008-11-01,73.717799999999997
2008-12-01,73.307500000000005
2009-01-01,72.076589999999996
2009-02-01,73.033969999999997
2009-03-01,73.991340000000022
2009-04-01,73.307500000000005
2009-05-01,73.991340000000022
2009-06-01,74.264870000000002
2009-07-01,74.401640000000000
2009-08-01,75.632549999999995
2009-09-01,75.632549999999995
2009-10-01,76.726690000000005
2009-11-01,78.094369999999998
2009-12-01,77.136989999999997
2010-01-01,80.145890000000023
2010-02-01,79.735579999999999
2010-03-01,81.650330000000011
2010-04-01,80.692959999999999
2010-05-01,83.428309999999996
2010-06-01,85.069530000000000
2010-07-01,84.522450000000006
2010-08-01,83.565080000000009
2010-09-01,84.795990000000003
2010-10-01,85.206289999999996
2010-11-01,85.479830000000007
2010-12-01,83.701840000000004
2011-01-01,86.163669999999996
2011-02-01,88.078409999999991
2011-03-01,87.394580000000005
2011-04-01,88.351950000000002
2011-05-01,87.804880000000011
2011-06-01,87.394580000000005
2011-07-01,88.078409999999991
2011-08-01,89.993160000000003
2011-09-01,90.813770000000005
2011-10-01,90.403469999999999
2011-11-01,91.907910000000001
2011-12-01,93.959429999999998
2012-01-01,91.087299999999999
2012-02-01,89.309330000000003
2012-03-01,90.540229999999994
2012-04-01,90.540229999999994
2012-05-01,91.634379999999993
2012-06-01,90.540229999999994
2012-07-01,90.403469999999999
2012-08-01,90.266700000000000
2012-09-01,90.266700000000000
2012-10-01,90.403469999999999
2012-11-01,89.172550000000001
2012-12-01,89.719630000000009
2013-01-01,89.446089999999998
2013-02-01,90.540229999999994
2013-03-01,89.856390000000005
2013-04-01,90.950540000000004
2013-05-01,92.181439999999995
2013-06-01,93.002049999999997
2013-07-01,93.822649999999996
2013-08-01,94.643259999999998
2013-09-01,93.959429999999998
2013-10-01,94.643259999999998
2013-11-01,95.874179999999996
2013-12-01,93.138819999999996
2014-01-01,94.916799999999995
2014-02-01,94.643259999999998
2014-03-01,94.369730000000004
2014-04-01,95.874179999999996
2014-05-01,94.506500000000003
2014-06-01,94.780029999999996
2014-07-01,96.421239999999997
2014-08-01,95.600639999999999
2014-09-01,96.284480000000002
2014-10-01,96.558009999999996
2014-11-01,96.147710000000004
2014-12-01,97.925690000000003
2015-01-01,98.472759999999994
2015-02-01,98.883060000000000
2015-03-01,100.114000000000004
2015-04-01,97.925690000000003
2015-05-01,99.156599999999997
2015-06-01,99.430139999999994
2015-07-01,100.661000000000001
2015-08-01,98.746290000000002
2015-09-01,100.661000000000001
2015-10-01,101.481700000000004
2015-11-01,101.618399999999994
2015-12-01,102.028700000000001
2016-01-01,101.755200000000002
2016-02-01,102.302300000000002
2016-03-01,100.250699999999995
2016-04-01,103.669899999999998
2016-05-01,102.028700000000001
