observation_date,IRLTLT01PLM156N
2001-01-01,10.4299999999999997
2001-02-01,10.2300000000000004
2001-03-01,10.6199999999999992
2001-04-01,10.6099999999999994
2001-05-01,11.2599999999999998
2001-06-01,11.6600000000000001
2001-07-01,11.7899999999999991
2001-08-01,11.8599999999999994
2001-09-01,11.4900000000000002
2001-10-01,10.3100000000000005
2001-11-01,9.0399999999999991
2001-12-01,8.8800000000000008
2002-01-01,8.2599999999999998
2002-02-01,8.3300000000000001
2002-03-01,8.3300000000000001
2002-04-01,8.2100000000000009
2002-05-01,8.0199999999999996
2002-06-01,7.5499999999999998
2002-07-01,7.5899999999999999
2002-08-01,7.2599999999999998
2002-09-01,6.7800000000000002
2002-10-01,6.2599999999999998
2002-11-01,5.9500000000000002
2002-12-01,5.7300000000000004
2003-01-01,5.6600000000000001
2003-02-01,5.6600000000000001
2003-03-01,5.5199999999999996
2003-04-01,5.4100000000000001
2003-05-01,5.1200000000000001
2003-06-01,5.0300000000000002
2003-07-01,5.3700000000000001
2003-08-01,5.6100000000000003
2003-09-01,5.9299999999999997
2003-10-01,6.3600000000000003
2003-11-01,6.9000000000000004
2003-12-01,6.7599999999999998
2004-01-01,6.6699999999999999
2004-02-01,6.8200000000000003
2004-03-01,6.6500000000000004
2004-04-01,7.0199999999999996
2004-05-01,7.3200000000000003
2004-06-01,7.2699999999999996
2004-07-01,7.4400000000000004
2004-08-01,7.3600000000000003
2004-09-01,6.9600000000000000
2004-10-01,6.7999999999999998
2004-11-01,6.4500000000000002
2004-12-01,6.0000000000000000
2005-01-01,5.9699999999999998
2005-02-01,5.7300000000000004
2005-03-01,5.5499999999999998
2005-04-01,5.4900000000000002
2005-05-01,5.3499999999999996
2005-06-01,4.9100000000000001
2005-07-01,4.7199999999999998
2005-08-01,4.8799999999999999
2005-09-01,4.5700000000000003
2005-10-01,4.9100000000000001
2005-11-01,5.3799999999999999
2005-12-01,5.1600000000000001
2006-01-01,4.9500000000000002
2006-02-01,4.7900000000000000
2006-03-01,4.7900000000000000
2006-04-01,5.0300000000000002
2006-05-01,5.2699999999999996
2006-06-01,5.5499999999999998
2006-07-01,5.5599999999999996
2006-08-01,5.6200000000000001
2006-09-01,5.4800000000000004
2006-10-01,5.4000000000000004
2006-11-01,5.2000000000000002
2006-12-01,5.1399999999999997
2007-01-01,5.1699999999999999
2007-02-01,5.1900000000000004
2007-03-01,5.1900000000000004
2007-04-01,5.2800000000000002
2007-05-01,5.2900000000000000
2007-06-01,5.5199999999999996
2007-07-01,5.5999999999999996
2007-08-01,5.6799999999999997
2007-09-01,5.6900000000000004
2007-10-01,5.6399999999999997
2007-11-01,5.7020000000000008
2007-12-01,5.8600000000000003
2008-01-01,5.8099999999999996
2008-02-01,5.8200000000000003
2008-03-01,5.9900000000000002
2008-04-01,5.9900000000000002
2008-05-01,6.0999999999999996
2008-06-01,6.4199999999999999
2008-07-01,6.4500000000000002
2008-08-01,6.1100000000000003
2008-09-01,5.8899999999999997
2008-10-01,6.3499999999999996
2008-11-01,6.2300000000000004
2008-12-01,5.7000000000000002
2009-01-01,5.4600000000000000
2009-02-01,5.9699999999999998
2009-03-01,6.2231818179999996
2009-04-01,6.1900000000000004
2009-05-01,6.3140000000000001
2009-06-01,6.3399999999999999
2009-07-01,6.1900000000000004
2009-08-01,6.0800000000000001
2009-09-01,6.1699999999999999
2009-10-01,6.1500000000000004
2009-11-01,6.1399999999999997
2009-12-01,6.2199999999999998
2010-01-01,6.1299999999999999
2010-02-01,6.0899999999999999
2010-03-01,5.7199999999999998
2010-04-01,5.5700000000000003
2010-05-01,5.7199999999999998
2010-06-01,5.8700000000000001
2010-07-01,5.8399999999999999
2010-08-01,5.6200000000000001
2010-09-01,5.4900000000000002
2010-10-01,5.5300000000000002
2010-11-01,5.8200000000000003
2010-12-01,5.9800000000000004
2011-01-01,6.2599999999999998
2011-02-01,6.2599999999999998
2011-03-01,6.2699999999999996
2011-04-01,6.1399999999999997
2011-05-01,6.0599999999999996
2011-06-01,5.8799999999999999
2011-07-01,5.8099999999999996
2011-08-01,5.7000000000000002
2011-09-01,5.7400000000000002
2011-10-01,5.7100000000000000
2011-11-01,5.7970000000000006
2011-12-01,5.8399999999999999
2012-01-01,5.6799999999999997
2012-02-01,5.4557000000000002
2012-03-01,5.3700000000000001
2012-04-01,5.4856999999999996
2012-05-01,5.4100000000000001
2012-06-01,5.2400000000000002
2012-07-01,4.9900000000000002
2012-08-01,4.8799999999999999
2012-09-01,4.8499999999999996
2012-10-01,4.5700000000000003
2012-11-01,4.1799999999999997
2012-12-01,3.8799999999999999
2013-01-01,3.9100000000000001
2013-02-01,3.9900000000000002
2013-03-01,3.9300000000000002
2013-04-01,3.4994999999999998
2013-05-01,3.2799999999999998
2013-06-01,3.9500000000000002
2013-07-01,3.9700000000000002
2013-08-01,4.3033333330000003
2013-09-01,4.4900000000000002
2013-10-01,4.2800000000000002
2013-11-01,4.3799999999999999
2013-12-01,4.4166666670000003
2014-01-01,4.4199999999999999
2014-02-01,4.4699999999999998
2014-03-01,4.2500000000000000
2014-04-01,4.0999999999999996
2014-05-01,3.8004761899999999
2014-06-01,3.5400000000000000
2014-07-01,3.3399999999999999
2014-08-01,3.3599999999999999
2014-09-01,3.1009000000000002
2014-10-01,2.7200000000000002
2014-11-01,2.5400000000000000
2014-12-01,2.5531578950000000
2015-01-01,2.2109999999999999
2015-02-01,2.1959999999999997
2015-03-01,2.3254545449999999
2015-04-01,2.3675000000000002
2015-05-01,2.8199999999999998
