observation_date,IR3TIB01PLM156N
2020-04-01,0.6800
2020-05-01,0.2800
2020-06-01,0.2600
2020-07-01,0.2300
2020-08-01,0.2300
2020-09-01,0.2200
2020-10-01,0.2200
2020-11-01,0.2200
2020-12-01,0.2100
2021-01-01,0.2100
2021-02-01,0.2100
2021-03-01,0.2100
2021-04-01,0.2100
2021-05-01,0.2100
2021-06-01,0.2100
2021-07-01,0.2100
2021-08-01,0.2200
2021-09-01,0.2300
2021-10-01,0.7400
2021-11-01,2.0600
2021-12-01,2.5400
2022-01-01,3.0200
2022-02-01,3.6500
2022-03-01,4.7700
2022-04-01,6.0500
2022-05-01,6.5900
2022-06-01,7.0500
2022-07-01,7.0100
2022-08-01,7.1100
2022-09-01,7.2100
2022-10-01,7.5100
2022-11-01,7.2800
2022-12-01,7.0200
2023-01-01,6.9500
2023-02-01,6.9400
2023-03-01,6.8900
2023-04-01,6.9000
2023-05-01,6.9000
2023-06-01,6.9000
2023-07-01,6.7600
2023-08-01,6.6900
2023-09-01,5.9900
2023-10-01,5.6800
2023-11-01,5.7700
2023-12-01,5.8500
2024-01-01,5.8700
2024-02-01,5.8600
2024-03-01,5.8600
